Question,Answer Given,Score,Actual Answer
What can TACC users use MATLAB for?,"non-commercial, academic purposes",0.8175983428955078,"only for non-commercial, academic purposes"
How do I load MATLAB?,by loading the MATLAB module with the following command,0.12219074368476868,module load matlab
Should I launch MATLAB jobs on login nodes?,Do NOT,0.3718831241130829,Do NOT launch MATLAB on the login nodes
Where can I submit my MATLAB jobs?,Slurm scheduler,0.5194497108459473,"on the TACC resources, e.g. Frontera, Stampede3, or Lonestar6"
Why can I not use MATLAB on login nodes?,licensing issues,0.7881026268005371,"This may fail and, more importantly, it will prevent other users from doing their work, as your execution will take up too many cycles on the shared login node"
How do I invoke MATLAB?,<figure idfigure2>,0.022580591961741447,matlab
What is the command to invoke MATLAB?,c202-002$ module load matlab,0.35453516244888306,matlab
What is the standard way to submit a Slurm job?,Slurm scheduler,0.16993562877178192,sbatch myjobscript
How do I submit a Slurm job?,in the standard way,0.3696279525756836,sbatch myjobscript
How is using login nodes for MATLAB jobs system abuse?,licensing issues,0.16755624115467072,"it will prevent other users from doing their work, as your execution will take up too many cycles on the shared login node"
