Question,Answer Given,Score,Actual Answer
What can TACC users use MATLAB for?,"non-commercial, academic use",0.7581408023834229,"only for non-commercial, academic purposes"
How do I load MATLAB?,nodesktop -nodisplay -nosplash,0.0893816128373146,module load matlab
Should I launch MATLAB jobs on login nodes?,Do NOT launch MATLAB on the login nodes,0.2763732969760895,Do NOT launch MATLAB on the login nodes
Where can I submit my MATLAB jobs?,Slurm scheduler,0.5549696087837219,"on the TACC resources, e.g. Frontera, Stampede3, or Lonestar6"
Why can I not use MATLAB on login nodes?,system abuse,0.1174907237291336,"This may fail and, more importantly, it will prevent other users from doing their work, as your execution will take up too many cycles on the shared login node"
How do I invoke MATLAB?,interactive mode,0.027033083140850067,matlab
What is the command to invoke MATLAB?,c202-002,0.2468232363462448,matlab
What is the standard way to submit a Slurm job?,Slurm scheduler,0.025810295715928078,sbatch myjobscript
How do I submit a Slurm job?,in the standard way,0.04960215836763382,sbatch myjobscript
How is using login nodes for MATLAB jobs system abuse?,licensing issues,0.04383828490972519,"it will prevent other users from doing their work, as your execution will take up too many cycles on the shared login node"
