Question,Answer Given,Score,Actual Answer
What is Launcher?,Large-Scale HTC ON HPC Systems,0.5452013611793518,a framework for running large collections of serial multithreaded applications known as High Throughput Computing (HTC)
How can users submit Launcher jobs?,by creating a SLURM job script,0.5707499384880066,by creating a SLURM job script
How many tasks can be ran in a job?,16,0.41466599702835083,16 - 60
What are two useful parameters?,$LAUNCHER_JID and $LAUNCHER_TSK_ID,0.9085233807563782,$LAUNCHER_JID and $LAUNCHER_TSK_ID
What can I not use Launcher for?,"run Matlab, ANSYS, or Mathematica jobs in parallel",0.011603659950196743,"Matlab, ANSYS, or Mathematica jobs in parallel"
What is $LAUNCHER_JID?,the rank of the jobs listed in the job file,0.7313510775566101,the rank of the jobs listed in the job file
What does Launcher not support?,MPI jobs,0.8647902011871338,MPI jobs
What is Launcher not used for?,"run Matlab, ANSYS, or Mathematica jobs in parallel",0.023955589160323143,"Matlab, ANSYS, or Mathematica jobs in parallel"
What is the name of the newly developed tool based on Launcher?,SBATCH -p,0.6889325976371765,Launcher-GPU
What does $LAUNCHER_TSK_ID?,"echo Hello, World from job",0.5229545831680298,the rank of the tasks (-n) running simultaneously
