Question,Answer Given,Score,Actual Answer
What can TACC users use MATLAB for?,"non-commercial, academic purposes",0.817598283290863,"only for non-commercial, academic purposes"
How do I load MATLAB?,by loading the MATLAB module with the following command,0.12219040095806122,module load matlab
Should I launch MATLAB jobs on login nodes?,Do NOT,0.37188366055488586,Do NOT launch MATLAB on the login nodes
Where can I submit my MATLAB jobs?,Slurm scheduler,0.5194507837295532,"on the TACC resources, e.g. Frontera, Stampede3, or Lonestar6"
Why can I not use MATLAB on login nodes?,licensing issues,0.7881031632423401,"This may fail and, more importantly, it will prevent other users from doing their work, as your execution will take up too many cycles on the shared login node"
How do I invoke MATLAB?,<figure idfigure2>,0.022580603137612343,matlab
What is the command to invoke MATLAB?,c202-002$ module load matlab,0.35453465580940247,matlab
What is the standard way to submit a Slurm job?,Slurm scheduler,0.16993597149848938,sbatch myjobscript
How do I submit a Slurm job?,in the standard way,0.3696272075176239,sbatch myjobscript
How is using login nodes for MATLAB jobs system abuse?,licensing issues,0.1675560623407364,"it will prevent other users from doing their work, as your execution will take up too many cycles on the shared login node"
