Question,Answer Given,Score,Actual Answer
What is Launcher?,Large-Scale HTC ON HPC Systems,0.5452021360397339,a framework for running large collections of serial multithreaded applications known as High Throughput Computing (HTC)
How can users submit Launcher jobs?,by creating a SLURM job script,0.5707496404647827,by creating a SLURM job script
How many tasks can be ran in a job?,16,0.4146641492843628,16 - 60
What are two useful parameters?,$LAUNCHER_JID and $LAUNCHER_TSK_ID,0.9085235595703125,$LAUNCHER_JID and $LAUNCHER_TSK_ID
What can I not use Launcher for?,"run Matlab, ANSYS, or Mathematica jobs in parallel",0.011603668332099915,"Matlab, ANSYS, or Mathematica jobs in parallel"
What is $LAUNCHER_JID?,the rank of the jobs listed in the job file,0.7313514947891235,the rank of the jobs listed in the job file
What does Launcher not support?,MPI jobs,0.8647899627685547,MPI jobs
What is Launcher not used for?,"run Matlab, ANSYS, or Mathematica jobs in parallel",0.02395595610141754,"Matlab, ANSYS, or Mathematica jobs in parallel"
What is the name of the newly developed tool based on Launcher?,SBATCH -p,0.6889331936836243,Launcher-GPU
What does $LAUNCHER_TSK_ID?,"echo Hello, World from job",0.5229557752609253,the rank of the tasks (-n) running simultaneously
