Question,Answer Given,Score,Actual Answer
What is Launcher?,a framework for running large collections of serial or multithreaded applications,0.11608893424272537,a framework for running large collections of serial multithreaded applications known as High Throughput Computing (HTC)
How can users submit Launcher jobs?,in parallel,0.44114574790000916,by creating a SLURM job script
How many tasks can be ran in a job?,16,0.3853577673435211,16 - 60
What are two useful parameters?,$LAUNCHER_JID,0.014422502368688583,$LAUNCHER_JID and $LAUNCHER_TSK_ID
What can I not use Launcher for?,"Matlab, ANSYS, or Mathematica jobs",0.1448388546705246,"Matlab, ANSYS, or Mathematica jobs in parallel"
What is $LAUNCHER_JID?,the rank of the jobs listed in the job file,0.5732342004776001,the rank of the jobs listed in the job file
What does Launcher not support?,MP,0.7433617115020752,MPI jobs
What is Launcher not used for?,"Matlab, ANSYS, or Mathematica jobs in parallel",0.0606873445212841,"Matlab, ANSYS, or Mathematica jobs in parallel"
What is the name of the newly developed tool based on Launcher?,Launcher-GPU,0.47902244329452515,Launcher-GPU
What does $LAUNCHER_TSK_ID?,the rank of the tasks (-n) running simultaneously,0.5184943079948425,the rank of the tasks (-n) running simultaneously
