Question,Answer Given,Score,Actual Answer
How does idev work?,How it works { works },0.13670626282691956,submits a batch job that creates a copy of the batch environment
What does idev do?,creates an interactive development environment from the user's login window,0.3465190529823303,creates and interactive development environment from the user's login window
What is the terminal command for idev?,ibrun,0.024445416405797005,idev
What is the command for idev?,exit,0.2282835990190506,idev
How much time will the system report the job status?,every 4 seconds,0.6628867387771606,every 4 seconds
What happens on the first time launching idev?,you have multiple projects/allocations,0.4542042315006256,idev will prompt you for the project name and then save your selection as the default interactive account
How do you start an idev session?,Stampede3 Skylake development node,0.27365827560424805,idev
How do launch an idev session?,your first time,0.07994014769792557,idev
Which command launces an idev session?,ibrun,0.32611218094825745,idev
What does -m do with idev,m   minutes            sets time in minutes,0.05019431933760643,sets time in minutes
