Question,Answer Given,Score,Actual Answer
What is Launcher?,request-based method,0.48886051774024963,a framework for running large collections of serial multithreaded applications known as High Throughput Computing (HTC)
How can users submit Launcher jobs?,by creating a SLURM job script,0.4881553649902344,by creating a SLURM job script
How many tasks can be ran in a job?,16,0.6988314986228943,16 - 60
What are two useful parameters?,$LAUNCHER_JID and $LAUNCHER_TSK_ID,0.931394100189209,$LAUNCHER_JID and $LAUNCHER_TSK_ID
What can I not use Launcher for?,"run Matlab, ANSYS, or Mathematica jobs in parallel",0.06175381690263748,"Matlab, ANSYS, or Mathematica jobs in parallel"
What is $LAUNCHER_JID?,the rank of the jobs listed in the job file,0.6596297025680542,the rank of the jobs listed in the job file
What does Launcher not support?,MPI jobs,0.8911303281784058,MPI jobs
What is Launcher not used for?,MPI jobs,0.34143829345703125,"Matlab, ANSYS, or Mathematica jobs in parallel"
What is the name of the newly developed tool based on Launcher?,Launcher-GPU,0.7915759682655334,Launcher-GPU
What does $LAUNCHER_TSK_ID?,the rank of the tasks (-n) running simultaneously,0.6239954233169556,the rank of the tasks (-n) running simultaneously
