Question,Answer Given,Score,Actual Answer
What is Pylauncher?,a Python-based parametric job launcher,0.5151892900466919,"a Python-based parametric job launcher, a utility for distributing and executing many small jobs in parallel"
How do you load Pylauncher?,"cmd-line
$ module",0.13138779997825623,module load pylauncher
What command installs Pylauncher?,IbrunLauncher,0.37248045206069946,module load pylauncher
What does Pylauncher do in an idev session?,creates a working directory with a name based on the SLURM job number,0.661323070526123,creates a working directory with a name based on the SLURM job number
Where is Pylauncher available on TACC?,all TACC systems,0.6059994101524353,on all TACC systems via the [Lmod modules system][TACCLMOD]
What is the procees to invoke Pylauncher?,ClassicLauncher(commandlines,0.006316874176263809,#SBATCH -N 5 # number of nodes you want to use
How many nodes will I need to use?,100 cores,0.37285614013671875,depends on how much work you have
What are the names of the environment variables?,TACC_PYLAUNCHER_DIR and PYTHONPATH,0.5848801136016846,TACC_PYLAUNCHER_DIR and PYTHONPATH
How can I give each commandline more than one core for a multi-threaded program?,"job-script
launcher",0.5949954390525818,"launcher.ClassicLauncher(commandlines,cores4)"
How much time does it take for the system to output a tick message,every half second,0.8913986682891846,every half second
