Question,Answer Given,Score,Actual Answer
What can TACC users use MATLAB for?,set complex ACLs or to copy ACLs from one file to another,1.2736796861645416e-06,"only for non-commercial, academic purposes"
How do I load MATLAB?,getfacl command,5.502853355210391e-07,module load matlab
Should I launch MATLAB jobs on login nodes?,reads that ACL to set the permissions on a second file,1.3776143532595597e-05,Do NOT launch MATLAB on the login nodes
Where can I submit my MATLAB jobs?,The man pages,0.00010005408694269136,"on the TACC resources, e.g. Frontera, Stampede3, or Lonestar6"
Why can I not use MATLAB on login nodes?,default ACLs do not alter the permissions for any currently existing files,5.7721263146959245e-06,"This may fail and, more importantly, it will prevent other users from doing their work, as your execution will take up too many cycles on the shared login node"
How do I invoke MATLAB?,Setting ACLs from the Command-Line { setting },1.517951062623979e-07,matlab
What is the command to invoke MATLAB?,getfacl,0.005086010321974754,matlab
What is the standard way to submit a Slurm job?,setfacl,0.004167539533227682,sbatch myjobscript
How do I submit a Slurm job?,use the following command,1.4363572518050205e-06,sbatch myjobscript
How is using login nodes for MATLAB jobs system abuse?,may produce a lot of output if there are many files in a given directory,4.664171910917503e-07,"it will prevent other users from doing their work, as your execution will take up too many cycles on the shared login node"
