Question,Answer Given,Score,Actual Answer
How does idev work?,re-creates the batch environment,0.014735691249370575,submits a batch job that creates a copy of the batch environment
What does idev do?,creates an interactive development environment from the user's login window,0.057209450751543045,creates and interactive development environment from the user's login window
What is the terminal command for idev?,exit or ctrl-D,0.024490999057888985,idev
What is the command for idev?,ibrun,0.06595326960086823,idev
How much time will the system report the job status?,every 4 seconds,0.3867606222629547,every 4 seconds
What happens on the first time launching idev?,idev will prompt you for the project name,0.04486275464296341,idev will prompt you for the project name and then save your selection as the default interactive account
How do you start an idev session?,submits a batch job,0.013808419927954674,idev
How do launch an idev session?,idev will prompt you for the project name,0.008766342885792255,idev
Which command launces an idev session?,"cmd-line
login1$",0.038320086896419525,idev
What does -m do with idev,re-creates the batch environment,0.07757197320461273,sets time in minutes
